127.0.0.1 - - [21/Dec/2022:18:10:08 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:10:11 +0900] "GET /DB_Project/DB/user.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:10:12 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:11:41 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:11:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:28:44 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:28:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:06 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:06 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:20 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:20 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:46 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:29:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:30:05 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:30:06 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:31:20 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:31:20 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:32:07 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:32:08 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:34:01 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:34:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:39:52 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:39:52 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:40:30 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:40:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:43:00 +0900] "GET /DB_Project/DB/Headquarter.jsp HTTP/1.1" 200 7823
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:43:25 +0900] "GET /DB_Project/DB/Headquarter.jsp HTTP/1.1" 200 7823
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:43:25 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:45:48 +0900] "GET /DB_Project/DB/vehicle.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:45:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:45:59 +0900] "GET /DB_Project/db_stats.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:45:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:48:53 +0900] "GET /DB_Project/DB/Headquarter.jsp HTTP/1.1" 200 7823
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:48:53 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:49:09 +0900] "GET /DB_Project/DB/Head_manage.jsp?headdelete_id=&manage_num=3 HTTP/1.1" 500 2765
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:49:43 +0900] "GET /DB_Project/DB/Headquarter.jsp HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:49:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Dec/2022:18:52:09 +0900] "GET /DB_Project/Login.jsp HTTP/1.1" 200 1284
